cluster,metric,value
1,no3_to_co2_capacity_ratio,0.9999999994318182
1,no3_per_N_biomass_ratio,0.9999999988636364
1,no3_per_N_biomass_sum,0.88
1,co2_per_C_biomass_ratio,0.9999999999209876
1,co2_per_C_biomass_sum,12.65625
1,s_rubisco,0.9065890919815977
1,photons_per_rubisc_simple_ratio,1.80369568078647
1,no3_per_rubisc_simple_ratio,0.003017906947764826
1,co2_per_rubisc_simple_ratio,0.043403846372327935
1,photons_per_rubisc_difference_ratio,0.28665581871012946
1,no3_per_rubisc_difference_ratio,-0.993982346818387
1,co2_per_rubisc_difference_ratio,-0.9168033613735512
1,mean_range_all_reactions,300.7728088824754
1,std_range_all_reactions,312.5196355999762
1,blocked_fraction_all_reactions,0.03731158883123301
2,no3_to_co2_capacity_ratio,0.9999999988636364
2,no3_per_N_biomass_ratio,0.9501705429186905
2,no3_per_N_biomass_sum,1.3892242912468773
2,co2_per_C_biomass_ratio,0.9876906424166615
2,co2_per_C_biomass_sum,8.6473713813777
2,s_rubisco,0.9120638301003449
2,photons_per_rubisc_simple_ratio,1.9069049188885583
2,no3_per_rubisc_simple_ratio,0.004579384715810954
2,co2_per_rubisc_simple_ratio,0.02963045015702911
2,photons_per_rubisc_difference_ratio,0.31198300054436534
2,no3_per_rubisc_difference_ratio,-0.9908829809028163
2,co2_per_rubisc_difference_ratio,-0.9424444951987487
2,mean_range_all_reactions,290.6084989583573
2,std_range_all_reactions,308.64736375833206
2,blocked_fraction_all_reactions,0.07017543859649122
3,no3_to_co2_capacity_ratio,0.0009795884409069433
3,no3_per_N_biomass_ratio,0.9270727768466409
3,no3_per_N_biomass_sum,1.8984485824941464
3,co2_per_C_biomass_ratio,0.9876906424737707
3,co2_per_C_biomass_sum,17.294742762755384
3,s_rubisco,0.9195598228407245
3,photons_per_rubisc_simple_ratio,2.117415221551009
3,no3_per_rubisc_simple_ratio,0.006221281048866366
3,co2_per_rubisc_simple_ratio,0.06038126390477843
3,photons_per_rubisc_difference_ratio,0.35844285799008696
3,no3_per_rubisc_difference_ratio,-0.9876343679709321
3,co2_per_rubisc_difference_ratio,-0.886114049800925
3,mean_range_all_reactions,271.1186807115172
3,std_range_all_reactions,297.84589655507017
3,blocked_fraction_all_reactions,0.07091672844082036
4,no3_to_co2_capacity_ratio,0.00012344156063821225
4,no3_per_N_biomass_ratio,0.9270727768466238
4,no3_per_N_biomass_sum,1.898448582493719
4,co2_per_C_biomass_ratio,0.9903618136788985
4,co2_per_C_biomass_sum,22.087887171003235
4,s_rubisco,0.9204845848868004
4,photons_per_rubisc_simple_ratio,2.150898854649608
4,no3_per_rubisc_simple_ratio,0.00621886221731015
4,co2_per_rubisc_simple_ratio,0.07729409716116747
4,photons_per_rubisc_difference_ratio,0.3652604884332683
4,no3_per_rubisc_difference_ratio,-0.9876391460097004
4,co2_per_rubisc_difference_ratio,-0.8565032568792202
4,mean_range_all_reactions,267.850617390557
4,std_range_all_reactions,295.8834361491711
4,blocked_fraction_all_reactions,0.044230294044971585
5,no3_to_co2_capacity_ratio,0.00016872542666928754
5,no3_per_N_biomass_ratio,0.9270727768466188
5,no3_per_N_biomass_sum,1.8984485824935717
5,co2_per_C_biomass_ratio,0.9887734831688744
5,co2_per_C_biomass_sum,18.96288717100323
5,s_rubisco,0.9198900465567356
5,photons_per_rubisc_simple_ratio,2.1288255298413485
5,no3_per_rubisc_simple_ratio,0.006219720695337724
5,co2_per_rubisc_simple_ratio,0.06626122899862949
5,photons_per_rubisc_difference_ratio,0.3607825105870065
5,no3_per_rubisc_difference_ratio,-0.9876374502125507
5,co2_per_rubisc_difference_ratio,-0.8757129543899385
5,mean_range_all_reactions,270.02502693559074
5,std_range_all_reactions,297.2042521989191
5,blocked_fraction_all_reactions,0.044230294044971585
6,no3_to_co2_capacity_ratio,0.0004154947927377239
6,no3_per_N_biomass_ratio,0.9270727768466137
6,no3_per_N_biomass_sum,1.898448582493449
6,co2_per_C_biomass_ratio,0.9881895922694027
6,co2_per_C_biomass_sum,18.025387171003235
6,s_rubisco,0.9197046664629781
6,photons_per_rubisc_simple_ratio,2.1224074427429347
6,no3_per_rubisc_simple_ratio,0.006220579410413973
6,co2_per_rubisc_simple_ratio,0.06295685837955227
6,photons_per_rubisc_difference_ratio,0.35946860341854364
6,no3_per_rubisc_difference_ratio,-0.9876357539500411
6,co2_per_rubisc_difference_ratio,-0.8815439067258187
6,mean_range_all_reactions,270.64130380335456
