cluster,metric,value
1,s_rubisco_midpoint_median,0.9999999999958917
1,rubisc_to_rubiso_midpoint_ratio_median,243411162905.20764
1,photons_per_rubisc_midpoint_median,4.108373851447912
1,no3_per_rubisc_midpoint_median,0.003615368989274162
1,co2_per_rubisc_midpoint_median,0.7290504935573265
1,mean_range_all_reactions,23.670397523429656
1,std_range_all_reactions,197.5713692004966
1,blocked_fraction_all_reactions,0.9792438843587843
2,s_rubisco_midpoint_median,0.9999999999950067
2,rubisc_to_rubiso_midpoint_ratio_median,200290802161.59882
2,photons_per_rubisc_midpoint_median,4.993296237905478
2,no3_per_rubisc_midpoint_median,0.00439410068935682
2,co2_per_rubisc_midpoint_median,0.8007667045606933
2,mean_range_all_reactions,24.62564631927249
2,std_range_all_reactions,198.15787165975223
2,blocked_fraction_all_reactions,0.9654064739313072
3,s_rubisco_midpoint_median,0.9999999999935021
3,rubisc_to_rubiso_midpoint_ratio_median,153892139955.9355
3,photons_per_rubisc_midpoint_median,6.4980742909012905
3,no3_per_rubisc_midpoint_median,0.005718305375993135
3,co2_per_rubisc_midpoint_median,0.8975163119749301
3,mean_range_all_reactions,25.987201862213656
3,std_range_all_reactions,199.562362691731
3,blocked_fraction_all_reactions,0.9654064739313072
4,s_rubisco_midpoint_median,0.999999999998297
4,rubisc_to_rubiso_midpoint_ratio_median,587193454223.4752
4,photons_per_rubisc_midpoint_median,1.7030162594723306
4,no3_per_rubisc_midpoint_median,0.0014986543083356466
4,co2_per_rubisc_midpoint_median,0.0
4,mean_range_all_reactions,26.32163584652154
4,std_range_all_reactions,198.93505489753386
4,blocked_fraction_all_reactions,0.9612058314801087
5,s_rubisco_midpoint_median,0.9999999999683312
5,rubisc_to_rubiso_midpoint_ratio_median,31576834418.253838
5,photons_per_rubisc_midpoint_median,23.9467011574973
5,no3_per_rubisc_midpoint_median,0.027868531351686848
5,co2_per_rubisc_midpoint_median,1.3333333332911084
5,mean_range_all_reactions,206.8532590905265
5,std_range_all_reactions,277.3723312189575
5,blocked_fraction_all_reactions,0.30911786508524836
6,s_rubisco_midpoint_median,0.0
6,rubisc_to_rubiso_midpoint_ratio_median,0.0
6,photons_per_rubisc_midpoint_median,500307692307.69226
6,no3_per_rubisc_midpoint_median,880000000.0
6,co2_per_rubisc_midpoint_median,0.0
6,mean_range_all_reactions,299.18244212441084
6,std_range_all_reactions,318.2190329739225
6,blocked_fraction_all_reactions,0.31331850753644674
7,s_rubisco_midpoint_median,0.9999999999892131
7,rubisc_to_rubiso_midpoint_ratio_median,92704748857.73605
7,photons_per_rubisc_midpoint_median,10.786933919898804
7,no3_per_rubisc_midpoint_median,0.009492501849510948
7,co2_per_rubisc_midpoint_median,1.1101598485813908
7,mean_range_all_reactions,39.226699841892284
7,std_range_all_reactions,202.81018881607574
7,blocked_fraction_all_reactions,0.3170249567580924
8,s_rubisco_midpoint_median,0.9999999999919799
8,rubisc_to_rubiso_midpoint_ratio_median,124686731336.58772
8,photons_per_rubisc_midpoint_median,8.020103921623654
8,no3_per_rubisc_midpoint_median,0.007057691451028818
8,co2_per_rubisc_midpoint_median,0.9946069152637171
8,mean_range_all_reactions,28.96568177092411
8,std_range_all_reactions,200.6053257593975
8,blocked_fraction_all_reactions,0.3162836669137633
9,s_rubisco_midpoint_median,0.999999999983785
9,rubisc_to_rubiso_midpoint_ratio_median,61670886075.94937
9,photons_per_rubisc_midpoint_median,16.215106732085182
9,no3_per_rubisc_midpoint_median,0.014269293924234958
9,co2_per_rubisc_midpoint_median,1.3333333333117132
9,mean_range_all_reactions,47.63541964737597
9,std_range_all_reactions,204.4183827544636
9,blocked_fraction_all_reactions,0.3402520385470719
10,s_rubisco_midpoint_median,0.8946076321356577
10,rubisc_to_rubiso_midpoint_ratio_median,8.490152579778826
10,photons_per_rubisc_midpoint_median,2.1499515200208226
10,no3_per_rubisc_midpoint_median,0.0034758704966362077
10,co2_per_rubisc_midpoint_median,0.0
10,mean_range_all_reactions,241.4323191592938
10,std_range_all_reactions,291.22744168697363
10,blocked_fraction_all_reactions,0.16802569804793674
11,s_rubisco_midpoint_median,0.9910053967601347
11,rubisc_to_rubiso_midpoint_ratio_median,110.17777775542932
11,photons_per_rubisc_midpoint_median,1.7146202089075857
11,no3_per_rubisc_midpoint_median,0.0016201668198220969
11,co2_per_rubisc_midpoint_median,0.0
11,mean_range_all_reactions,70.86487009455209
11,std_range_all_reactions,214.2987239175582
11,blocked_fraction_all_reactions,0.16802569804793674
12,s_rubisco_midpoint_median,0.9979528343401354
