cluster,metric,value
1,no3_to_co2_capacity_ratio,0.9999999994318182
1,no3_per_N_biomass_ratio,0.9999999988636364
1,no3_per_N_biomass_sum,0.88
1,co2_per_C_biomass_ratio,0.9999999999943648
1,co2_per_C_biomass_sum,177.45627797789177
1,s_rubisco_midpoint_median,0.9999999999958917
1,photons_per_rubisc_midpoint_median,-1.3217218533664838
1,no3_per_rubisc_midpoint_median,-1.0072567994063535
1,co2_per_rubisc_midpoint_median,-6.381141311072346
1,mean_range_all_reactions,23.670397523429656
1,std_range_all_reactions,197.5713692004966
1,blocked_fraction_all_reactions,0.9792438843587843
2,no3_to_co2_capacity_ratio,0.9999999994318182
2,no3_per_N_biomass_ratio,0.9999999988636364
2,no3_per_N_biomass_sum,0.88
2,co2_per_C_biomass_ratio,0.9999999999937649
2,co2_per_C_biomass_sum,160.37904900140455
2,s_rubisco_midpoint_median,0.9999999999950073
2,photons_per_rubisc_midpoint_median,-1.2504545436068906
2,no3_per_rubisc_midpoint_median,-1.0088260012993926
2,co2_per_rubisc_midpoint_median,-9.03668274621618
2,mean_range_all_reactions,24.62564631927249
2,std_range_all_reactions,198.15787165975223
2,blocked_fraction_all_reactions,0.9654064739313072
3,no3_to_co2_capacity_ratio,0.9999999994318182
3,no3_per_N_biomass_ratio,0.9999999988636364
3,no3_per_N_biomass_sum,0.88
3,co2_per_C_biomass_ratio,0.99999999999276
3,co2_per_C_biomass_sum,138.12054141510708
3,s_rubisco_midpoint_median,0.999999999993502
3,photons_per_rubisc_midpoint_median,-1.1818824138439072
3,no3_per_rubisc_midpoint_median,-1.011502355300013
3,co2_per_rubisc_midpoint_median,-18.51509728684672
3,mean_range_all_reactions,25.987201862213656
3,std_range_all_reactions,199.562362691731
3,blocked_fraction_all_reactions,0.9654064739313072
4,no3_to_co2_capacity_ratio,0.9999999994318182
4,no3_per_N_biomass_ratio,0.9999999988636364
4,no3_per_N_biomass_sum,0.88
4,co2_per_C_biomass_ratio,0.0
4,co2_per_C_biomass_sum,0.0
4,s_rubisco_midpoint_median,0.999999999998297
4,photons_per_rubisc_midpoint_median,-2.4224422074541763
4,no3_per_rubisc_midpoint_median,-1.0030018072863909
4,co2_per_rubisc_midpoint_median,-0.999999999998297
4,mean_range_all_reactions,26.32163584652154
4,std_range_all_reactions,198.93505489753386
4,blocked_fraction_all_reactions,0.9612058314801087
5,no3_to_co2_capacity_ratio,0.9999999994318182
5,no3_per_N_biomass_ratio,0.9999999988636364
5,no3_per_N_biomass_sum,0.88
5,co2_per_C_biomass_ratio,0.9999999999762484
5,co2_per_C_biomass_sum,42.10244589100512
5,s_rubisco_midpoint_median,0.9999999999683312
5,photons_per_rubisc_midpoint_median,-1.0435792488487292
5,no3_per_rubisc_midpoint_median,-1.0573349021909597
5,co2_per_rubisc_midpoint_median,7.000000000665045
5,mean_range_all_reactions,206.8532590905265
5,std_range_all_reactions,277.3723312189575
5,blocked_fraction_all_reactions,0.30911786508524836
6,no3_to_co2_capacity_ratio,0.9999999994318182
6,no3_per_N_biomass_ratio,0.9999999988636364
6,no3_per_N_biomass_sum,0.88
6,co2_per_C_biomass_ratio,0.0
6,co2_per_C_biomass_sum,0.0
6,s_rubisco_midpoint_median,0.0
6,photons_per_rubisc_midpoint_median,-1.0000000000019988
6,no3_per_rubisc_midpoint_median,1.0000000011363637
6,co2_per_rubisc_midpoint_median,0.0
6,mean_range_all_reactions,299.18244212441084
6,std_range_all_reactions,318.2190329739225
6,blocked_fraction_all_reactions,0.31331850753644674
7,no3_to_co2_capacity_ratio,0.9999999994318182
7,no3_per_N_biomass_ratio,0.9999999988636364
7,no3_per_N_biomass_sum,0.88
7,co2_per_C_biomass_ratio,0.9999999999902834
7,co2_per_C_biomass_sum,102.91708995579029
7,s_rubisco_midpoint_median,0.9999999999892131
7,photons_per_rubisc_midpoint_median,-1.1021770462725613
7,no3_per_rubisc_midpoint_median,-1.0191669459581925
7,co2_per_rubisc_midpoint_median,19.15543526742893
7,mean_range_all_reactions,39.226699841892284
7,std_range_all_reactions,202.81018881607574
7,blocked_fraction_all_reactions,0.3170249567580924
8,no3_to_co2_capacity_ratio,0.9999999994318182
8,no3_per_N_biomass_ratio,0.9999999988636364
8,no3_per_N_biomass_sum,0.88
8,co2_per_C_biomass_ratio,0.9999999999919363
8,co2_per_C_biomass_sum,124.01425174424323
8,s_rubisco_midpoint_median,0.9999999999919799
8,photons_per_rubisc_midpoint_median,-1.1424481220627725
