cluster,metric,value
1,s_rubisco_midpoint_median,0.918218641357863
1,rubisc_to_rubiso_midpoint_ratio_median,11.22772544505957
1,photons_per_rubisc_midpoint_median,2.0800032259334205
1,no3_per_rubisc_midpoint_median,0.006042900077744908
1,co2_per_rubisc_midpoint_median,0.34157196432222137
1,mean_range_all_reactions,275.6858139006189
1,std_range_all_reactions,298.6723803746593
1,blocked_fraction_all_reactions,0.03138127007659995
2,s_rubisco_midpoint_median,0.9089972424340189
2,rubisc_to_rubiso_midpoint_ratio_median,9.988677999949127
2,photons_per_rubisc_midpoint_median,1.81978509171385
2,no3_per_rubisc_midpoint_median,0.004306467326456547
2,co2_per_rubisc_midpoint_median,0.3257208698536358
2,mean_range_all_reactions,298.7783987196792
2,std_range_all_reactions,311.177530164574
2,blocked_fraction_all_reactions,0.03138127007659995
3,s_rubisco_midpoint_median,0.9189834659623076
3,rubisc_to_rubiso_midpoint_ratio_median,11.343159478221535
3,photons_per_rubisc_midpoint_median,2.1013512393489524
3,no3_per_rubisc_midpoint_median,0.005979504545046338
3,co2_per_rubisc_midpoint_median,0.34287237091524486
3,mean_range_all_reactions,274.4029190919635
3,std_range_all_reactions,298.0110100921939
3,blocked_fraction_all_reactions,0.04373610081541883
4,s_rubisco_midpoint_median,0.9110641817308263
4,rubisc_to_rubiso_midpoint_ratio_median,10.244075290184849
4,photons_per_rubisc_midpoint_median,1.8785697118945777
4,no3_per_rubisc_midpoint_median,0.002626454339576016
4,co2_per_rubisc_midpoint_median,0.32930171394268437
4,mean_range_all_reactions,294.8318801805882
4,std_range_all_reactions,309.0723469842201
4,blocked_fraction_all_reactions,0.04373610081541883
5,s_rubisco_midpoint_median,0.9049556552155407
5,rubisc_to_rubiso_midpoint_ratio_median,9.52140453246103
5,photons_per_rubisc_midpoint_median,1.7040642694752535
5,no3_per_rubisc_midpoint_median,0.0030347749743745143
5,co2_per_rubisc_midpoint_median,0.3186717774036152
5,mean_range_all_reactions,311.20254538881
5,std_range_all_reactions,317.89424312882863
5,blocked_fraction_all_reactions,0.03731158883123301
6,s_rubisco_midpoint_median,0.9049556552155408
6,rubisc_to_rubiso_midpoint_ratio_median,9.521404532461046
6,photons_per_rubisc_midpoint_median,1.7040642694752504
6,no3_per_rubisc_midpoint_median,0.0
6,co2_per_rubisc_midpoint_median,0.31867177740361446
6,mean_range_all_reactions,311.19796638440033
6,std_range_all_reactions,317.89861867366193
6,blocked_fraction_all_reactions,0.05213738571781567
