cluster,metric,value
1,no3_to_co2_capacity_ratio,-0.9999999999938548
1,no3_per_N_biomass_ratio,0.8628540653071552
1,no3_per_N_biomass_sum,1.8423343315254612
1,co2_per_C_biomass_ratio,0.9960006124758347
1,co2_per_C_biomass_sum,97.14464670637193
1,s_rubisco_midpoint_median,0.9182186413578627
1,photons_per_rubisc_midpoint_median,-1.9259231602162277
1,no3_per_rubisc_midpoint_median,-1.0121650403049032
1,co2_per_rubisc_midpoint_median,-2.0375377286869303
1,mean_range_all_reactions,275.6858139006189
1,std_range_all_reactions,298.6723803746593
1,blocked_fraction_all_reactions,0.03138127007659995
2,no3_to_co2_capacity_ratio,-0.999999999994427
2,no3_per_N_biomass_ratio,0.9384698626112713
2,no3_per_N_biomass_sum,1.2938039674669257
2,co2_per_C_biomass_ratio,0.9987072551412426
2,co2_per_C_biomass_sum,94.69008791358341
2,s_rubisco_midpoint_median,0.9089972424340172
2,photons_per_rubisc_midpoint_median,-2.2198318926602956
2,no3_per_rubisc_midpoint_median,-1.0086701785479866
2,co2_per_rubisc_midpoint_median,-1.9661306580294522
2,mean_range_all_reactions,298.7783987196792
2,std_range_all_reactions,311.177530164574
2,blocked_fraction_all_reactions,0.03138127007659995
3,no3_to_co2_capacity_ratio,-0.9999999999938038
3,no3_per_N_biomass_ratio,0.8541455542024607
3,no3_per_N_biomass_sum,1.827256760650144
3,co2_per_C_biomass_ratio,0.9957899779420643
3,co2_per_C_biomass_sum,97.34101140979443
3,s_rubisco_midpoint_median,0.9189834659623076
3,photons_per_rubisc_midpoint_median,-1.9079755524596633
3,no3_per_rubisc_midpoint_median,-1.0120309481959822
3,co2_per_rubisc_midpoint_median,-2.043548789421718
3,mean_range_all_reactions,274.4029190919635
3,std_range_all_reactions,298.0110100921939
3,blocked_fraction_all_reactions,0.04373610081541883
4,no3_to_co2_capacity_ratio,-0.9999999999943051
4,no3_per_N_biomass_ratio,0.8541455536266205
4,no3_per_N_biomass_sum,0.8187059512003891
4,co2_per_C_biomass_ratio,0.9980723753419407
4,co2_per_C_biomass_sum,95.25463643592425
4,s_rubisco_midpoint_median,0.9110641517831665
4,photons_per_rubisc_midpoint_median,-2.1382143762111596
4,no3_per_rubisc_midpoint_median,-1.0052667235443098
4,co2_per_rubisc_midpoint_median,-1.9819666064439567
4,mean_range_all_reactions,294.8318801805882
4,std_range_all_reactions,309.0723469842201
4,blocked_fraction_all_reactions,0.04373610081541883
5,no3_to_co2_capacity_ratio,-0.9999999999946559
5,no3_per_N_biomass_ratio,0.9999999988776656
5,no3_per_N_biomass_sum,0.8909999999999998
5,co2_per_C_biomass_ratio,0.9999999999893118
5,co2_per_C_biomass_sum,93.56099086890026
5,s_rubisco_midpoint_median,0.9049556552155406
5,photons_per_rubisc_midpoint_median,-2.420324881342595
5,no3_per_rubisc_midpoint_median,-1.0060880257334825
5,co2_per_rubisc_midpoint_median,-1.935442762630697
5,mean_range_all_reactions,311.20254538881
5,std_range_all_reactions,317.89424312882863
5,blocked_fraction_all_reactions,0.03731158883123301
6,no3_to_co2_capacity_ratio,-0.9999999999946559
6,no3_per_N_biomass_ratio,0.0
6,no3_per_N_biomass_sum,0.0
6,co2_per_C_biomass_ratio,0.9999999999893118
6,co2_per_C_biomass_sum,93.56099086890018
6,s_rubisco_midpoint_median,0.9049556552155408
6,photons_per_rubisc_midpoint_median,-2.420324881342601
6,no3_per_rubisc_midpoint_median,-0.9999999999965941
6,co2_per_rubisc_midpoint_median,-1.9354427626306931
6,mean_range_all_reactions,311.19796638440033
6,std_range_all_reactions,317.89861867366193
6,blocked_fraction_all_reactions,0.05213738571781567
