,c1,c2,c3,c4,c5,c6
CHRL_h,++,++,+,+,0+,0
IGPS_c,++,++,+,+,0+,0
PRAI_c,++,++,+,+,0+,0
PRAIS_c,++,++,+,+,0+,0
ANPRT_c,++,++,+,+,0+,0
PRFGS_c,++,++,+,+,0+,0
PRFGCL_c,++,++,+,+,0+,0
PPRGL_c,++,++,+,+,0+,0
PRAIC_c,--,--,-,-,-0,0
AMETt_h,++,++,+,+,0+,0
DXPS_h,++,++,+,+,0+,0
AIAL_c,++,++,+,+,0+,0
NITR_c,++,++,+,+,0+,0
ANTHt_h,--,--,-,-,-0,0
FPGFT_c,++,++,+,+,0+,0
PRDPAR_c,++,++,+,+,0+,0
TRPS1_c,0+,0+,0+,0+,0+,0
DM_no3_c,0+,0+,0,0,0+,0
HMDHPS_c,0+,0+,0,0,0+,0
HPPK_c,0+,0+,0,0,0+,0
MTHF3ES_c,0+,0+,0,0,0+,0
PPA2_c,0+,0+,0,0,0+,0
DHFS_c,0+,0+,0,0,0+,0
DHFR1_c,0+,0+,0+,0+,0+,0
NO2t_h,0+,0+,0+,0+,0+,0
DHFR2_c,0+,0+,0+,0+,0+,0
G3PL_c,0+,0+,0+,0+,0+,0
PAPA_EPA_EPA_c,++,0+,++,0+,0+,0+
