cluster,metric,value
1,no3_to_co2_capacity_ratio,-0.004766232276025723
1,no3_per_N_biomass_ratio,0.9999999994318182
1,no3_per_N_biomass_sum,1.76
1,co2_per_C_biomass_ratio,0.002388808947165481
1,co2_per_C_biomass_sum,2.3945290195115376e-12
1,s_rubisco_midpoint_median,0.5421055211806612
1,photons_per_rubisc_midpoint_median,-1.0787634704506799
1,no3_per_rubisc_midpoint_median,-1.049401613036702
1,co2_per_rubisc_midpoint_median,-0.9999999999862383
1,mean_range_all_reactions,59.3124348245956
1,std_range_all_reactions,211.26645735979312
1,blocked_fraction_all_reactions,0.27996046454163576
2,no3_to_co2_capacity_ratio,-0.9999999999189244
2,no3_per_N_biomass_ratio,0.989900612534818
2,no3_per_N_biomass_sum,1.735765081558647
2,co2_per_C_biomass_ratio,0.9956386727208264
2,co2_per_C_biomass_sum,6.180566343391953
2,s_rubisco_midpoint_median,0.6758276419178986
2,photons_per_rubisc_midpoint_median,-1.1453988724579738
2,no3_per_rubisc_midpoint_median,-1.0279384515744479
2,co2_per_rubisc_midpoint_median,-1.103484355675622
2,mean_range_all_reactions,108.20002973780689
2,std_range_all_reactions,229.4991123263083
2,blocked_fraction_all_reactions,0.0014825796886582653
3,no3_to_co2_capacity_ratio,-0.9999999998378489
3,no3_per_N_biomass_ratio,0.9949853137444055
3,no3_per_N_biomass_sum,1.7478825407793273
3,co2_per_C_biomass_ratio,0.9956386725597288
3,co2_per_C_biomass_sum,3.0902831716948094
3,s_rubisco_midpoint_median,0.6195754751646463
3,photons_per_rubisc_midpoint_median,-1.1108737924821006
3,no3_per_rubisc_midpoint_median,-1.0357858249524248
3,co2_per_rubisc_midpoint_median,-1.0641731431695298
3,mean_range_all_reactions,87.15097333785602
3,std_range_all_reactions,220.7509903446386
3,blocked_fraction_all_reactions,0.0014825796886582653
4,no3_to_co2_capacity_ratio,-0.9999999996756979
4,no3_per_N_biomass_ratio,0.9974973940020612
4,no3_per_N_biomass_sum,1.751191270389659
4,co2_per_C_biomass_ratio,0.9956386722375512
4,co2_per_C_biomass_sum,1.5451415858462874
4,s_rubisco_midpoint_median,0.5841783625086621
4,photons_per_rubisc_midpoint_median,-1.094532902262393
4,no3_per_rubisc_midpoint_median,-1.0414702985948538
4,co2_per_rubisc_midpoint_median,-1.0364671559554
4,mean_range_all_reactions,71.7980406492219
4,std_range_all_reactions,215.13358746635953
4,blocked_fraction_all_reactions,0.0014825796886582653
5,no3_to_co2_capacity_ratio,-0.999999999992946
5,no3_per_N_biomass_ratio,0.9243129537104228
5,no3_per_N_biomass_sum,1.5205426920989313
5,co2_per_C_biomass_ratio,0.9975064934875946
5,co2_per_C_biomass_sum,70.96932011749513
