cluster,metric,value
1,s_rubisco_midpoint_median,0.999999999990013
1,rubisc_to_rubiso_midpoint_ratio_median,100130126832.48236
1,photons_per_rubisc_midpoint_median,0.006145848755471443
1,no3_per_rubisc_midpoint_median,0.008788563720322166
1,co2_per_rubisc_midpoint_median,0.0
1,mean_range_all_reactions,117.5209443693003
1,std_range_all_reactions,234.17063903460578
1,blocked_fraction_all_reactions,0.34321719792438843
2,s_rubisco_midpoint_median,0.9656259440984443
2,rubisc_to_rubiso_midpoint_ratio_median,28.093472187215486
2,photons_per_rubisc_midpoint_median,1.1577472014755545
2,no3_per_rubisc_midpoint_median,0.005740399376693258
2,co2_per_rubisc_midpoint_median,0.1423910902243974
2,mean_range_all_reactions,153.20906610818528
2,std_range_all_reactions,246.7156590011347
2,blocked_fraction_all_reactions,0.0385470719051149
3,s_rubisco_midpoint_median,0.9900644632884098
3,rubisc_to_rubiso_midpoint_ratio_median,99.64881536127268
3,photons_per_rubisc_midpoint_median,1.8265969092156302
3,no3_per_rubisc_midpoint_median,0.013349582681685315
3,co2_per_rubisc_midpoint_median,0.16961680906089388
3,mean_range_all_reactions,124.0263373816653
3,std_range_all_reactions,235.6699215448046
3,blocked_fraction_all_reactions,0.045465777118853475
4,s_rubisco_midpoint_median,0.9764567557847679
4,rubisc_to_rubiso_midpoint_ratio_median,41.47502981568754
4,photons_per_rubisc_midpoint_median,2.0545829255094934
4,no3_per_rubisc_midpoint_median,0.01132041139188431
4,co2_per_rubisc_midpoint_median,0.2062387470918045
4,mean_range_all_reactions,139.68396273521233
4,std_range_all_reactions,240.54435993529071
4,blocked_fraction_all_reactions,0.045465777118853475
5,s_rubisco_midpoint_median,0.9849730628604174
5,rubisc_to_rubiso_midpoint_ratio_median,65.54716065630473
5,photons_per_rubisc_midpoint_median,1.9111616184881512
5,no3_per_rubisc_midpoint_median,0.012596921255448033
5,co2_per_rubisc_midpoint_median,0.183200640178794
5,mean_range_all_reactions,129.0430268494049
5,std_range_all_reactions,237.13424014274176
5,blocked_fraction_all_reactions,0.045465777118853475
6,s_rubisco_midpoint_median,0.9993310058594645
6,rubisc_to_rubiso_midpoint_ratio_median,1496.7038107626804
6,photons_per_rubisc_midpoint_median,0.12923621204128186
6,no3_per_rubisc_midpoint_median,0.009098803026365423
6,co2_per_rubisc_midpoint_median,0.011457783400936243
6,mean_range_all_reactions,117.9522368744587
6,std_range_all_reactions,234.2635745197676
6,blocked_fraction_all_reactions,0.03261675315048184
7,s_rubisco_midpoint_median,0.9903945631304591
7,rubisc_to_rubiso_midpoint_ratio_median,103.10770624822021
7,photons_per_rubisc_midpoint_median,1.7458566332405798
7,no3_per_rubisc_midpoint_median,0.013078856807022638
7,co2_per_rubisc_midpoint_median,0.16253957610286893
7,mean_range_all_reactions,123.55771562918133
7,std_range_all_reactions,235.55231879436076
7,blocked_fraction_all_reactions,0.03261675315048184
8,s_rubisco_midpoint_median,0.9938842136120487
8,rubisc_to_rubiso_midpoint_ratio_median,162.52604172198642
8,photons_per_rubisc_midpoint_median,1.1197737250617206
8,no3_per_rubisc_midpoint_median,0.011538862857953998
8,co2_per_rubisc_midpoint_median,0.10395735659398721
8,mean_range_all_reactions,120.83111823035608
8,std_range_all_reactions,234.91168748380673
8,blocked_fraction_all_reactions,0.03261675315048184
9,s_rubisco_midpoint_median,0.9890522275650194
9,rubisc_to_rubiso_midpoint_ratio_median,90.46380833279612
9,photons_per_rubisc_midpoint_median,1.7720431589309271
9,no3_per_rubisc_midpoint_median,0.012942170972301999
9,co2_per_rubisc_midpoint_median,0.16613510119784708
9,mean_range_all_reactions,124.77357014285406
9,std_range_all_reactions,235.8915289626213
9,blocked_fraction_all_reactions,0.03261675315048184
