cluster,metric,value
1,no3_to_co2_capacity_ratio,0.9999999994318182
1,no3_per_N_biomass_ratio,0.9999999988636364
1,no3_per_N_biomass_sum,0.88
1,co2_per_C_biomass_ratio,0.0
1,co2_per_C_biomass_sum,0.0
1,s_rubisco,0.999999999990013
1,photons_per_rubisc_simple_ratio,0.006145848755471443
1,no3_per_rubisc_simple_ratio,0.008788563720322166
1,co2_per_rubisc_simple_ratio,0.0
1,photons_per_rubisc_difference_ratio,-0.987783383953595
1,no3_per_rubisc_difference_ratio,-0.9825760044445703
1,co2_per_rubisc_difference_ratio,-0.999999999990013
1,mean_range_all_reactions,117.5209443693003
1,std_range_all_reactions,234.17063903460578
1,blocked_fraction_all_reactions,0.34321719792438843
2,no3_to_co2_capacity_ratio,-0.9224998318903307
2,no3_per_N_biomass_ratio,0.9999999988636364
2,no3_per_N_biomass_sum,0.88
2,co2_per_C_biomass_ratio,0.9999999999541906
2,co2_per_C_biomass_sum,21.82962816455699
2,s_rubisco,0.9656247237437905
2,photons_per_rubisc_simple_ratio,1.1577869670075016
2,no3_per_rubisc_simple_ratio,0.005740294121627084
2,co2_per_rubisc_simple_ratio,0.14239600707989944
2,photons_per_rubisc_difference_ratio,0.0731244415813899
2,no3_per_rubisc_difference_ratio,-0.9885849375660107
2,co2_per_rubisc_difference_ratio,-0.7507063991808898
2,mean_range_all_reactions,153.20906610818528
2,std_range_all_reactions,246.7156590011347
2,blocked_fraction_all_reactions,0.0385470719051149
3,no3_to_co2_capacity_ratio,-0.9999999999052682
3,no3_per_N_biomass_ratio,0.9270727768466182
3,no3_per_N_biomass_sum,1.8984485824935493
3,co2_per_C_biomass_ratio,0.9905698041821088
3,co2_per_C_biomass_sum,22.575053170148
3,s_rubisco,0.9900644632884098
3,photons_per_rubisc_simple_ratio,1.8265969092156302
3,no3_per_rubisc_simple_ratio,0.013349582681685315
3,co2_per_rubisc_simple_ratio,0.16961680906089388
3,photons_per_rubisc_difference_ratio,0.29243536866832304
3,no3_per_rubisc_difference_ratio,-0.9736525619319838
3,co2_per_rubisc_difference_ratio,-0.7099617451618626
3,mean_range_all_reactions,124.0263373816653
3,std_range_all_reactions,235.6699215448046
3,blocked_fraction_all_reactions,0.045465777118853475
4,no3_to_co2_capacity_ratio,-0.9999999999666263
4,no3_per_N_biomass_ratio,0.9270727768466244
4,no3_per_N_biomass_sum,1.8984485824936423
4,co2_per_C_biomass_ratio,0.9934043918081619
4,co2_per_C_biomass_sum,32.277110132173554
4,s_rubisco,0.9764567557847679
4,photons_per_rubisc_simple_ratio,2.0545829255094934
4,no3_per_rubisc_simple_ratio,0.011320411391885034
4,co2_per_rubisc_simple_ratio,0.2062387470918045
4,photons_per_rubisc_difference_ratio,0.345246127289219
4,no3_per_rubisc_difference_ratio,-0.9776126116558437
4,co2_per_rubisc_difference_ratio,-0.6580465557216526
4,mean_range_all_reactions,139.68396273521233
4,std_range_all_reactions,240.54435993529071
4,blocked_fraction_all_reactions,0.045465777118853475
5,no3_to_co2_capacity_ratio,-0.999999999941273
5,no3_per_N_biomass_ratio,0.9270727768466227
5,no3_per_N_biomass_sum,1.898448582493644
5,co2_per_C_biomass_ratio,0.9917514596923159
5,co2_per_C_biomass_sum,25.809072157489716
5,s_rubisco,0.9849730628604174
5,photons_per_rubisc_simple_ratio,1.9111616184881512
5,no3_per_rubisc_simple_ratio,0.012596921255448977
5,co2_per_rubisc_simple_ratio,0.183200640178794
5,photons_per_rubisc_difference_ratio,0.3129890187850513
5,no3_per_rubisc_difference_ratio,-0.9751195742459703
5,co2_per_rubisc_difference_ratio,-0.6903303903644117
5,mean_range_all_reactions,129.0430268494049
5,std_range_all_reactions,237.13424014274176
5,blocked_fraction_all_reactions,0.045465777118853475
6,no3_to_co2_capacity_ratio,0.5082019105070233
6,no3_per_N_biomass_ratio,0.9922340724264223
6,no3_per_N_biomass_sum,0.9333179560350748
6,co2_per_C_biomass_ratio,0.9905337149970324
6,co2_per_C_biomass_sum,1.177346610525776
6,s_rubisco,0.9993309834732655
6,photons_per_rubisc_simple_ratio,0.12924017280669142
6,no3_per_rubisc_simple_ratio,0.00909881300915432
6,co2_per_rubisc_simple_ratio,0.011458152086111534
6,photons_per_rubisc_difference_ratio,-0.771102417494798
6,no3_per_rubisc_difference_ratio,-0.9819664578002346
6,co2_per_rubisc_difference_ratio,-0.9773432997353535
6,mean_range_all_reactions,117.9522368744587
6,std_range_all_reactions,234.2635745197676
