,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
MTHFO1_c,0,0,+,0,0,0,0+,+,0+,+
BCTAL_h,0,0,-0,-0,-0,--,0,0+,0,0+
4MOPt_h,0,0,0+,0+,0+,++,0,-0,0,-0
LEUt_h,0,0,0+,0+,0+,++,0,-0,0,-0
ASPNA1t_h,0,0,-0,+,-0,+,++,-,,++
MALOAAt_h,0,0,0+,-,0+,-,--,0,,--
AKGMALt_h,0,0,-0,,-0,+,++,0,,++
OAAAKGt_m,0,0,-,+,-,+,+,0,,+
ENO_m,+,,+,,0,-,-,-,-,--
NAHt_h,+,-,+,,,--,--,,,--
MTHFO2_c,0,0,0,+,+,+,0+,0,0+,0
PYK_h,+,+,+,++,+,0,++,+,++,++
ASPTA_L_h,0,0,-0,-,-0,-,--,0,--,--
GLUNA1t_h,0,0,++,0,++,0,-0,-,,-0
GLUDH_c,0,0,+,+,+,+,-,-,-,+
CA_m,-,,-,,-,0,,++,,+
PYC_h,0,0,0,0+,0,+,0+,0,0+,0+
3MOPt_h,0,0,0+,0+,0+,0+,,--,-,--
GLUDH2_m,0,,--,+,+,+,0,--,,--
IDH_m,0,0,0+,+,+,+,+,0+,,0+
ASPTA_L_c,0,0,--,0,--,0,-0,-0,-0,-0
GLNt_h,0,,-,+,-,+,,0,+,+
MPCt_m,-,+,,-,-,-,+,+,-,--
NH4t_h,0,0,-,+,+,+,-,-,-,-
GLNA_h,0,0,0,+,+,++,+,+,+,+
PEPCK_m,+,,+,0,0,0+,0,0,0,0
NH4t_m,0,0,+,+,+,-,++,,,+
H2Ot_h,-,-,-,-,-,+,--,,,0
BCTAI_h,0,0,++,++,++,++,,-0,0,-0
ILEt_h,0,0,++,++,++,++,,-0,0,-0
DHFR1_c,0,0,+,0,0,,0+,+,0+,+
BCTAI_m,0+,0,0+,0+,0+,0,0,,0,++
3MOPt_m,0+,0,0+,0+,0+,0,0,,0,++
FAC1619Zt_c,0,0,0,0+,0+,+,0+,0+,0+,0+
ORNC_c,0,0,+,-,,+,+,-,+,+
ATPM_h,0,,0,0,0,++,0,0,0,0
PAPA_EPA_EPA_c,0,0,+,+,+,+,+,+,+,+
CA_h,+,+,+,++,+,+,++,,++,++
