reaction_id,cluster,metric,value
GLUDH_c,1,minimum,0.0
GLUDH_c,1,maximum,0.0
GLUDH_c,1,mean_range,0.0
GLUDH_c,1,mean_midpoint,0.0
GLUDH_c,1,mean_relative_range,0.0
GLUDH_c,1,median_range,0.0
GLUDH_c,1,median_midpoint,0.0
GLUDH_c,1,box_range,0.0
GLUDH_c,1,frac_variable,0.0
GLUDH_c,1,frac_zero_fixed,1.0
GLUDH_c,1,frac_bidirectional,0.0
GLUDH_c,1,mean_abs_flux,0.0
GLUDH_c,1,std_range,0.0
GLUDH_c,1,median_midpoint_over_range_norm,0.0
GLUDH_c,2,minimum,0.3850397151325541
GLUDH_c,2,maximum,3.9461453622604044
GLUDH_c,2,mean_range,0.0006959021573471474
GLUDH_c,2,mean_midpoint,2.2024044589802214
GLUDH_c,2,mean_relative_range,0.0005507936252891659
GLUDH_c,2,median_range,5.697309291008423e-11
GLUDH_c,2,median_midpoint,1.9889310386317938
GLUDH_c,2,box_range,8.649097549273677e-10
GLUDH_c,2,frac_variable,0.03125
GLUDH_c,2,frac_zero_fixed,0.0
GLUDH_c,2,frac_bidirectional,0.0
GLUDH_c,2,mean_abs_flux,2.202752410283983
GLUDH_c,2,std_range,0.0038746189109871206
GLUDH_c,2,median_midpoint_over_range_norm,1059016063.3869076
GLUDH_c,3,minimum,0.02729451440322991
GLUDH_c,3,maximum,1.224017754799607
GLUDH_c,3,mean_range,2.711263924407164e-10
GLUDH_c,3,mean_midpoint,0.5877459491756184
GLUDH_c,3,mean_relative_range,7.685714015657199e-10
GLUDH_c,3,median_range,1.2738432531023136e-10
GLUDH_c,3,median_midpoint,0.573489645503558
GLUDH_c,3,box_range,9.622952712451394e-10
GLUDH_c,3,frac_variable,0.0
GLUDH_c,3,frac_zero_fixed,0.0
GLUDH_c,3,frac_bidirectional,0.0
GLUDH_c,3,mean_abs_flux,0.587745949559825
GLUDH_c,3,std_range,1.104182350321184e-09
GLUDH_c,3,median_midpoint_over_range_norm,258919501.26856825
GLUDH_c,4,minimum,0.13654515261409364
GLUDH_c,4,maximum,0.1365451565690448
GLUDH_c,4,mean_range,3.954951172113752e-09
GLUDH_c,4,mean_midpoint,0.13654515459156924
GLUDH_c,4,mean_relative_range,2.896441911617341e-08
GLUDH_c,4,median_range,3.954951172113752e-09
GLUDH_c,4,median_midpoint,0.13654515459156924
GLUDH_c,4,box_range,0.0
GLUDH_c,4,frac_variable,0.0
GLUDH_c,4,frac_zero_fixed,0.0
GLUDH_c,4,frac_bidirectional,0.0
GLUDH_c,4,mean_abs_flux,0.1365451565690448
GLUDH_c,4,std_range,0.0
GLUDH_c,4,median_midpoint_over_range_norm,22929685.004134398
GLUDH_c,5,minimum,0.08742983989061233
GLUDH_c,5,maximum,0.08742983973606222
GLUDH_c,5,mean_range,-1.5455010882181597e-10
GLUDH_c,5,mean_midpoint,0.08742983981333727
GLUDH_c,5,mean_relative_range,-1.7677043358134556e-09
GLUDH_c,5,median_range,-1.5455010882181597e-10
GLUDH_c,5,median_midpoint,0.08742983981333727
GLUDH_c,5,box_range,0.0
GLUDH_c,5,frac_variable,0.0
GLUDH_c,5,frac_zero_fixed,0.0
GLUDH_c,5,frac_bidirectional,0.0
GLUDH_c,5,mean_abs_flux,0.08742983989061233
GLUDH_c,5,std_range,0.0
GLUDH_c,5,median_midpoint_over_range_norm,47375894.751344204
GLUDH_c,6,minimum,1.1924206945211326
GLUDH_c,6,maximum,1.1924206952786
GLUDH_c,6,mean_range,7.574674221189071e-10
GLUDH_c,6,mean_midpoint,1.1924206948998664
GLUDH_c,6,mean_relative_range,6.352350512557109e-10
GLUDH_c,6,median_range,7.574674221189071e-10
GLUDH_c,6,median_midpoint,1.1924206948998664
GLUDH_c,6,box_range,0.0
GLUDH_c,6,frac_variable,0.0
GLUDH_c,6,frac_zero_fixed,0.0
GLUDH_c,6,frac_bidirectional,0.0
GLUDH_c,6,mean_abs_flux,1.1924206952786
GLUDH_c,6,std_range,0.0
GLUDH_c,6,median_midpoint_over_range_norm,432433284.73617303
GLUDH_c,7,minimum,-0.2687816968027496
GLUDH_c,7,maximum,-0.0005298799248282648
GLUDH_c,7,mean_range,0.00023591519907906859
GLUDH_c,7,mean_midpoint,-0.07953354187394825
GLUDH_c,7,mean_relative_range,0.0016381420235944027
GLUDH_c,7,median_range,4.909035417749452e-13
GLUDH_c,7,median_midpoint,-0.0779670498951369
GLUDH_c,7,box_range,2.3999236625771303e-11
GLUDH_c,7,frac_variable,0.008305647840531562
GLUDH_c,7,frac_zero_fixed,0.0
GLUDH_c,7,frac_bidirectional,0.0
GLUDH_c,7,mean_abs_flux,0.07965149948412202
GLUDH_c,7,std_range,0.0030975626319069425
GLUDH_c,7,median_midpoint_over_range_norm,37346984.895557016
GLUDH_c,8,minimum,-0.1038590546629884
GLUDH_c,8,maximum,1.1924206955605325
GLUDH_c,8,mean_range,0.00018064375793659085
GLUDH_c,8,mean_midpoint,0.0647333608620065
GLUDH_c,8,mean_relative_range,0.00414727498392308
GLUDH_c,8,median_range,6.967863785956041e-14
GLUDH_c,8,median_midpoint,0.05023382527574956
GLUDH_c,8,box_range,4.554099285181135e-12
GLUDH_c,8,frac_variable,0.008896797153024912
GLUDH_c,8,frac_zero_fixed,0.06761565836298933
GLUDH_c,8,frac_bidirectional,0.0
GLUDH_c,8,mean_abs_flux,0.06685435623010004
GLUDH_c,8,std_range,0.002102008385552178
GLUDH_c,8,median_midpoint_over_range_norm,25129060.878020126
GLUDH_c,9,minimum,-0.013719864359280288
GLUDH_c,9,maximum,-0.012218463144386106
GLUDH_c,9,mean_range,-7.552375969980633e-13
GLUDH_c,9,mean_midpoint,-0.013244050576291638
GLUDH_c,9,mean_relative_range,-6.134496608002351e-11
GLUDH_c,9,median_range,-1.6027370403071117e-13
GLUDH_c,9,median_midpoint,-0.01371986435821068
GLUDH_c,9,box_range,1.0633750824329269e-12
GLUDH_c,9,frac_variable,0.0
GLUDH_c,9,frac_zero_fixed,0.0
GLUDH_c,9,frac_bidirectional,0.0
GLUDH_c,9,mean_abs_flux,0.013244050576957439
GLUDH_c,9,std_range,1.92890201976573e-12
GLUDH_c,9,median_midpoint_over_range_norm,6856969.257653685
GLUDH_c,10,minimum,-0.008876495882964628
GLUDH_c,10,maximum,-0.007457980185454592
GLUDH_c,10,mean_range,0.0014185156975100362
GLUDH_c,10,mean_midpoint,-0.008167238034209611
GLUDH_c,10,mean_relative_range,0.15980580134404007
GLUDH_c,10,median_range,0.0014185156975100362
GLUDH_c,10,median_midpoint,-0.008167238034209611
GLUDH_c,10,box_range,0.0
GLUDH_c,10,frac_variable,1.0
GLUDH_c,10,frac_zero_fixed,0.0
GLUDH_c,10,frac_bidirectional,0.0
GLUDH_c,10,mean_abs_flux,0.008876495882964628
GLUDH_c,10,std_range,0.0
GLUDH_c,10,median_midpoint_over_range_norm,5.757586280767447
4MOPt_h,1,minimum,-3.851141627819743e-12
4MOPt_h,1,maximum,24.531645569618977
4MOPt_h,1,mean_range,0.8491723466408203
4MOPt_h,1,mean_midpoint,0.4245861733203019
4MOPt_h,1,mean_relative_range,0.05769230768630965
4MOPt_h,1,median_range,0.0
4MOPt_h,1,median_midpoint,0.0
4MOPt_h,1,box_range,0.0
4MOPt_h,1,frac_variable,0.057692307692307696
4MOPt_h,1,frac_zero_fixed,0.9423076923076923
4MOPt_h,1,frac_bidirectional,0.0
4MOPt_h,1,mean_abs_flux,0.8491723466407121
4MOPt_h,1,std_range,3.934622983188488
4MOPt_h,1,median_midpoint_over_range_norm,0.0
4MOPt_h,2,minimum,-6.339010797754932e-10
4MOPt_h,2,maximum,24.162514093697993
4MOPt_h,2,mean_range,15.40128505914536
4MOPt_h,2,mean_midpoint,7.700642529556182
4MOPt_h,2,mean_relative_range,0.9999999998614755
4MOPt_h,2,median_range,16.012250857768944
4MOPt_h,2,median_midpoint,8.006125428885143
4MOPt_h,2,box_range,15.291134485631847
4MOPt_h,2,frac_variable,1.0
4MOPt_h,2,frac_zero_fixed,0.0
4MOPt_h,2,frac_bidirectional,0.0
4MOPt_h,2,mean_abs_flux,15.401285059128863
4MOPt_h,2,std_range,8.048532690618364
4MOPt_h,2,median_midpoint_over_range_norm,0.4999999999332556
4MOPt_h,3,minimum,-1.3312373425833357e-10
4MOPt_h,3,maximum,24.524078027986043
4MOPt_h,3,mean_range,17.521609802738105
4MOPt_h,3,mean_midpoint,8.760804901353673
4MOPt_h,3,mean_relative_range,0.9999999998800588
4MOPt_h,3,median_range,21.097877522656585
4MOPt_h,3,median_midpoint,10.548938761266763
4MOPt_h,3,box_range,13.196897949239423
4MOPt_h,3,frac_variable,1.0
4MOPt_h,3,frac_zero_fixed,0.0
4MOPt_h,3,frac_bidirectional,0.0
4MOPt_h,3,mean_abs_flux,17.521609802722725
4MOPt_h,3,std_range,7.871152963139344
4MOPt_h,3,median_midpoint_over_range_norm,0.4999999999524916
4MOPt_h,4,minimum,-1.1723824873873437e-10
4MOPt_h,4,maximum,17.104977242077112
4MOPt_h,4,mean_range,17.10497724219435
4MOPt_h,4,mean_midpoint,8.552488620979936
4MOPt_h,4,mean_relative_range,0.9999999999483916
4MOPt_h,4,median_range,17.10497724219435
4MOPt_h,4,median_midpoint,8.552488620979936
4MOPt_h,4,box_range,0.0
4MOPt_h,4,frac_variable,1.0
4MOPt_h,4,frac_zero_fixed,0.0
4MOPt_h,4,frac_bidirectional,0.0
4MOPt_h,4,mean_abs_flux,17.104977242077112
4MOPt_h,4,std_range,0.0
4MOPt_h,4,median_midpoint_over_range_norm,0.49999999993468336
4MOPt_h,5,minimum,-5.206857167650014e-11
4MOPt_h,5,maximum,24.50834136440879
4MOPt_h,5,mean_range,24.508341364460858
4MOPt_h,5,mean_midpoint,12.25417068217836
4MOPt_h,5,mean_relative_range,0.999999999961322
4MOPt_h,5,median_range,24.508341364460858
4MOPt_h,5,median_midpoint,12.25417068217836
4MOPt_h,5,box_range,0.0
4MOPt_h,5,frac_variable,1.0
4MOPt_h,5,frac_zero_fixed,0.0
4MOPt_h,5,frac_bidirectional,0.0
4MOPt_h,5,mean_abs_flux,24.50834136440879
4MOPt_h,5,std_range,0.0
4MOPt_h,5,median_midpoint_over_range_norm,0.49999999995707306
4MOPt_h,6,minimum,-1.2775637954950034e-10
4MOPt_h,6,maximum,24.213808811740066
4MOPt_h,6,mean_range,24.21380881186782
4MOPt_h,6,mean_midpoint,12.106904405806155
4MOPt_h,6,mean_relative_range,0.9999999999639774
4MOPt_h,6,median_range,24.21380881186782
4MOPt_h,6,median_midpoint,12.106904405806155
4MOPt_h,6,box_range,0.0
4MOPt_h,6,frac_variable,1.0
4MOPt_h,6,frac_zero_fixed,0.0
4MOPt_h,6,frac_bidirectional,0.0
4MOPt_h,6,mean_abs_flux,24.213808811740066
4MOPt_h,6,std_range,0.0
4MOPt_h,6,median_midpoint_over_range_norm,0.4999999999534251
4MOPt_h,7,minimum,-0.06998247707022412
4MOPt_h,7,maximum,0.006106145421384223
4MOPt_h,7,mean_range,0.0022734850980389615
4MOPt_h,7,mean_midpoint,-0.001123869534238134
4MOPt_h,7,mean_relative_range,0.06130018736086493
4MOPt_h,7,median_range,0.0
4MOPt_h,7,median_midpoint,0.0
4MOPt_h,7,box_range,1.3076935367895004e-12
4MOPt_h,7,frac_variable,0.061461794019933555
4MOPt_h,7,frac_zero_fixed,0.9352159468438538
4MOPt_h,7,frac_bidirectional,0.0
4MOPt_h,7,mean_abs_flux,0.0022863581182446645
4MOPt_h,7,std_range,0.009495748166431435
4MOPt_h,7,median_midpoint_over_range_norm,0.0002193111538168226
4MOPt_h,8,minimum,-0.3804280120286513
4MOPt_h,8,maximum,17.121238381121508
4MOPt_h,8,mean_range,0.1392019453615367
4MOPt_h,8,mean_midpoint,0.06576825165283538
4MOPt_h,8,mean_relative_range,0.9715199294165311
4MOPt_h,8,median_range,0.0790260865539787
4MOPt_h,8,median_midpoint,0.036546897174791995
4MOPt_h,8,box_range,0.12157859469400248
4MOPt_h,8,frac_variable,0.99644128113879
4MOPt_h,8,frac_zero_fixed,0.0017793594306049821
4MOPt_h,8,frac_bidirectional,0.0
4MOPt_h,8,mean_abs_flux,0.14412530795797973
4MOPt_h,8,std_range,0.7256084876324411
4MOPt_h,8,median_midpoint_over_range_norm,0.49999998903315745
4MOPt_h,9,minimum,-0.001990135463583663
4MOPt_h,9,maximum,0.0
4MOPt_h,9,mean_range,0.0019115011712119371
4MOPt_h,9,mean_midpoint,-0.0009557505856059686
4MOPt_h,9,mean_relative_range,0.9999994714985719
4MOPt_h,9,median_range,0.001990135462403209
4MOPt_h,9,median_midpoint,-0.0009950677312016046
4MOPt_h,9,box_range,1.916108331029287e-12
4MOPt_h,9,frac_variable,1.0
