,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
GLUDH_c,0,+,,++,+,+,-,+,-,--
4MOPt_h,0,0+,0+,0+,0+,0+,0,,-0,-0
LEUt_h,0,0+,0+,0+,0+,0+,0,,-0,-0
MTHFO2_c,0,+,+,+,+,+,0+,0,0+,0+
AKGMALt_h,0,+,-0,-0,-0,-0,,,0,0
MALOAAt_h,0,,0+,0+,0+,0+,,,0,0
GLUNA1t_h,0,0,++,++,++,++,,,-,-
ASPTA_L_h,0,-,-0,-0,-0,-0,--,,--,--
ASPNA1t_h,0,+,-0,-0,-0,-0,,,-0,--
MALAKGt_m,0,+,0,0+,-0,-+,+,,0+,0+
3MOPt_h,0,0+,0+,0+,0+,0+,,0+,--,--
ILEt_h,0,++,++,++,++,++,,++,-0,-0
BCTAL_h,0,-0,-0,-0,-0,-0,0,,0+,0+
CA_m,,,-,-,-,-,,,,++
BCTAL_c,,0+,0+,0+,0+,0+,,0+,--,-0
DHFR1_c,0,0,0,0,0+,0+,0+,+,0+,0+
IDH_m,0,+,+,+,+,++,,,,0+
MGDGH_HDE_HDDE_h,0,0+,0+,0+,0+,0+,0+,0,+,++
ASPTA_L_c,0,0,--,--,--,--,-0,,-0,-0
OAAAKGt_m,0,+,-,--,--,--,,,0,0
XPK_c,0,0,0,0,0+,0,+,,+,++
ORNC_c,0,-,,-0,--,--,+,+,-,-
SAL_c,0,+,+,++,++,++,0,0,0,0
ENO_m,,,0,0,0,0,-,,--,--
P5CR_c,0,+,+,++,+,+,0,0,+,+
G5DH_c,0,+,+,++,+,+,0,0,+,+
MALOAAt_m,0,0,-,--,-,--,0,,-0,-0
GLUNA1t_m,0,,-,--,-,-,,-,++,++
BCTAI_h,0,++,++,++,++,++,,++,-0,-0
PYK_h,+,++,+,+,+,+,++,,++,0
MTHFO1_c,0,0,0,0+,0+,0+,0+,+,0+,0+
ASPNA1t_m,0,0,0,0+,0,0+,0,,++,++
BCTAI_c,,-0,-0,-0,-0,-0,,-0,++,++
H2Ot_h,-,-,-,-,--,--,,,--,-0
NH4t_m,0,+,+,+,+,+,,,,++
GLUDH2_m,,+,+,++,+,++,,,,--
TAG_OLE_HDE_OLEt_h,0,++,++,++,++,++,++,+,0,0+
AACPDAGAT_OLE_HDE_OLE_h,0,++,++,++,++,++,++,+,0,0+
TAGAH_OLE_HDE_OLE_c,0,++,++,++,++,++,++,+,0,0+
ATPM_h,0,0,0,0,0,0,0,0,+,++
PAPA_EPA_EPA_c,0,+,+,+,+,+,+,+,,+
CA_h,+,++,+,+,+,+,++,+,++,++
