,c1,c2,c3,c4,c5,c6
IGPS,++,++,+,+,0+,0
ATNS,++,++,+,+,0+,0
PRASCSi,++,++,+,+,0+,0
NITR,++,++,+,+,0+,0
AIRCr,++,++,+,+,0+,0
PRAIi,++,++,+,+,0+,0
ANPRT,++,++,+,+,0+,0
ADSL2r,++,++,+,+,0+,0
PRAGSr,++,++,+,+,0+,0
ANTHt_h,--,--,-,-,-0,0
PRAIS,++,++,+,+,0+,0
DXS,++,++,+,+,0+,0
AMETt_h,++,++,+,+,0+,0
PRFGS,++,++,+,+,0+,0
GARFT,++,++,+,+,0+,0
GLUPRT,++,++,+,+,0+,0
TRPS3,0+,0+,0+,0+,0+,0
SK_5mthglu_c,0+,0+,0,0,0+,0
HPPK2,0+,0+,0,0,0+,0
HMDHPS_c,0+,0+,0,0,0+,0
HXAND,0+,0+,0+,0+,0+,0
DHFR,0+,0+,0+,0+,0+,0
TRPS1,0+,0+,0+,0+,0+,0
DHFR2i,0+,0+,0+,0+,0+,0
IMPD,0+,0+,0+,0+,0+,0
PAPA_EPA_EPA_c,++,0+,++,0+,0+,0+
HXPRT,-+,-+,-+,-+,-+,0+
